Torque(Nm),Brake_Velocity(rad/s),All_exp_Velocity(rad/s)
,,1.4986851215362549
,,1.4382543563842773
,,1.445505976676941
,,1.4245566129684448
,,1.5067425966262817
,,1.56959068775177
,,1.56959068775177
,,1.5389724969863892
,,1.5083539485931396
,,1.5389724969863892
,,1.483375906944275
,,1.4857933521270752
,,1.617935299873352
,,1.4704840183258057
,,1.4704840183258057
,,1.5824825763702393
,,1.4608150720596313
,,1.5486414432525635
,,1.5341379642486572
,,1.4729013442993164
,,1.4729013442993164
,,1.5284976959228516
,,1.4680668115615845
,,1.4680668115615845
,,1.4882104396820068
,,1.4704840183258057
,,1.4704840183258057
,,1.5397781133651733
,,1.4954620599746704
,,1.5365550518035889
,,1.5365550518035889
,,1.5365550518035889
,,1.483375906944275
,,1.4865989685058594
,,1.5043253898620605
,,1.5043253898620605
,,1.547029733657837
,,1.547029733657837
,,1.5518642663955688
,,1.5043253898620605
,,1.6807835102081299
,,1.5486414432525635
,,1.5615332126617432
,,1.5615332126617432
,,1.5260804891586304
,,1.5486414432525635
,,1.5389724969863892
,,1.5389724969863892
,,1.5518642663955688
,,1.698509931564331
,,1.5293033123016357
,,1.5744251012802124
,,1.463232398033142
,,1.563950538635254
,,1.6630570888519287
,,1.5897343158721924
,,1.5897343158721924
,,1.5897343158721924
,,1.5591158866882324
,,1.5615332126617432
,,1.5744251012802124
,,1.5671733617782593
,,1.592151403427124
,,1.6711146831512451
,,1.56959068775177
,,1.56959068775177
,,1.5542815923690796
,,1.5389724969863892
,,1.5268863439559937
,,1.5945687294006348
,,1.5413895845413208
,,1.5615332126617432
,,1.7162361145019531
,,1.6018205881118774
,,1.5720080137252808
,,1.56959068775177
,,1.5365550518035889
,,1.5945687294006348
,,1.592151403427124
,,1.5671733617782593
,,1.5615332126617432
,,1.4962677955627441
,,1.543806791305542
,,1.5365550518035889
,,1.5446126461029053
,,1.5446126461029053
,,1.5792596340179443
,,1.563950538635254
,,1.563950538635254
,,1.5518642663955688
,,1.562338948249817
,,1.6630570888519287
,,1.5671733617782593
,,1.5591158866882324
,,1.6203527450561523
,,1.6203527450561523
,,1.5720080137252808
,,1.5720080137252808
,,1.5671733617782593
,,1.7186534404754639
,,1.5720080137252808
,,1.5720080137252808
,,1.547029733657837
,,1.6155180931091309
,,1.6002089977264404
,,1.5873171091079712
,,1.5873171091079712
,,1.5446126461029053
,,1.5671733617782593
,,1.6074604988098145
,,1.5969860553741455
,,1.6404961347579956
,,1.612295150756836
,,1.612295150756836
,,1.6098779439926147
,,1.6098779439926147
,,1.6429133415222168
,,1.56959068775177
,,1.56959068775177
,,1.6163238286972046
,,1.6082665920257568
,,1.5889285802841187
,,1.5566987991333008
,,1.5873171091079712
,,1.6356618404388428
,,1.6356618404388428
,,1.6098779439926147
,,1.7291282415390015
,,1.7291282415390015
,,1.6276042461395264
,,1.6662800312042236
,,1.6098779439926147
,,1.6437190771102905
,,1.6195467710494995
,,1.6098779439926147
,,1.5744251012802124
,,1.6098779439926147
,,1.6002089977264404
,,1.6711146831512451
,,1.6711146831512451
,,1.645330786705017
,,1.6034319400787354
,,1.5905400514602661
,,1.5905400514602661
,,1.6356618404388428
,,1.6388847827911377
,,1.6098779439926147
,,1.6066548824310303
,,1.566367745399475
,,1.566367745399475
,,1.6840064525604248
,,1.6856179237365723
,,1.6243813037872314
,,1.6308271884918213
,,1.7661924362182617
,,1.6678913831710815
,,1.6549994945526123
,,1.6147123575210571
,,1.6147123575210571
